,Antigua and Barbuda,Bahamas,Barbados,Costa Rica,Cuba,Dominican Republic,El Salvador,French Guiana,St Martin,Guatemala,Guyana,Haiti,Honduras,Jamaica,Aruba,Curacao,Sint Maarten,Nicaragua,Panama,Saint Lucia,Trinidad and Tobago,Cayman Islands
9/14/20,95,3008,183,57361,4726,104110,27009,9552,330,82172,1884,8478,68620,3933,3060,161,549,4818,102204,27,3141,208
9/15/20,95,3032,184,58137,4803,104803,27088,9578,330,82684,1958,8493,68620,4042,3152,169,549,4961,102832,27,3223,208
9/16/20,95,3087,185,59516,4876,105521,27163,9595,330,82924,1958,8499,69660,4164,3328,192,557,4961,103466,27,3327,208
9/17/20,95,3177,185,60818,4933,106136,27249,9623,330,83664,2027,8530,70120,4374,3382,210,565,4961,104138,27,3434,208
9/18/20,95,3177,185,62374,5004,106732,27346,9659,330,84344,2102,8556,70611,4571,3460,228,574,4961,104879,27,3651,208
9/19/20,96,3214,185,63712,5055,107700,27428,9692,330,85152,2168,8556,71143,4758,3460,247,584,4961,105601,27,3853,208
9/20/20,96,3315,189,63712,5091,108289,27553,9692,330,85444,2269,8600,71616,4988,3551,268,584,4961,106203,27,3901,208
9/21/20,96,3418,189,65602,5141,108783,27798,9712,330,85681,2402,8600,72075,5143,3587,282,591,4961,106810,27,3945,209
9/22/20,96,3467,189,66689,5222,109269,27954,9738,330,86623,2437,8624,72306,5270,3665,291,594,5073,107284,27,4026,210
9/23/20,97,3618,189,68059,5270,109737,28201,9762,367,87442,2535,8624,72675,5395,3721,301,616,5073,107990,27,4136,210
9/24/20,97,3699,189,69459,5310,110122,28415,9790,367,87933,2579,8646,73193,5588,3756,315,618,5073,108726,27,4235,210
9/25/20,98,3790,190,70816,5350,110597,28630,9831,367,88878,2709,8646,73840,5723,3799,329,627,5073,109431,27,4277,210
9/26/20,98,3790,190,72049,5412,110957,28722,9863,367,89702,2725,8684,74548,5854,3832,337,633,5073,110108,27,4312,210
9/27/20,101,3838,190,72049,5457,111386,28630,9863,383,90092,2772,8684,74548,6017,3844,360,644,5073,110555,27,4362,210
9/28/20,101,3838,190,73714,5483,111666,28809,9895,383,90263,2787,8723,75537,6170,3872,364,645,5073,111277,27,4386,211
9/29/20,101,3903,190,74604,5531,111900,28981,9929,383,90968,2846,8740,76098,6408,3934,370,659,5170,111853,27,4463,211
9/30/20,101,4123,190,75760,5597,112209,29077,9955,383,91746,2894,8740,76900,6482,3963,392,667,5170,112595,27,4531,211
10/1/20,101,4123,193,76828,5670,112728,29175,9966,403,92409,2929,8766,77598,6555,3998,399,668,5170,113342,27,4570,211
10/2/20,106,4220,193,77829,5718,113350,29269,9968,403,93090,2968,8766,78269,6704,4038,411,674,5170,113962,27,4629,213
10/3/20,107,4332,196,79182,5780,113926,29358,10029,412,93748,2968,8792,78788,6795,4074,429,678,5170,114653,27,4715,213
10/4/20,107,4409,199,79182,5809,114480,29450,10029,412,93963,3093,8792,79629,6895,4079,452,679,5170,115286,27,4763,213
10/5/20,107,4452,200,81129,5845,115054,29539,10057,412,94182,3188,8819,80020,7012,4094,462,686,5170,115919,27,4767,213
